question,options,answer,category,difficulty
"I share my name with a fish but I'm spent not swum — I'm Japan's currency. What am I?",Yen;Won;Baht;Riel,a,GEN,5
"Which ancient civilisation built the city of Machu Picchu?",Inca;Maya;Aztec;Olmec,a,HIS,25
"The 'Scramble for Africa' in the late 19th century refers to which process?",European colonisation of Africa;African tribal wars;The slave trade;Exploration of the Sahara,a,HIS,30
"In which city was Archduke Franz Ferdinand assassinated — an event that triggered World War I?",Sarajevo;Vienna;Prague;Berlin,a,HIS,30
"Which Soviet leader ordered the construction of the Berlin Wall in 1961?",Nikita Khrushchev;Joseph Stalin;Leonid Brezhnev;Mikhail Gorbachev,a,HIS,30
"The Reformation began when Martin Luther nailed his 95 Theses to a church door — in which German city?",Wittenberg;Cologne;Berlin;Hamburg,a,HIS,45
"What was the name of the programme under which millions of Jews and others were systematically murdered during WWII?",The Final Solution;Operation Barbarossa;The Night of Broken Glass;The Nuremberg Laws,a,HIS,45
"Which dynasty ruled China the longest, for over 800 years?",Zhou Dynasty;Han Dynasty;Ming Dynasty;Qing Dynasty,a,HIS,50
"What was the Zimmermann Telegram and why did it bring the USA into WWI?",Germany's offer to Mexico to attack the USA in exchange for territory;An armistice offer from Austria;A coded British intelligence message;A secret French alliance proposal,a,HIS,50
"The Haitian Revolution was the only successful slave revolt in history that led to the creation of a new state. In what year was Haiti founded?",1804;1789;1820;1810,a,HIS,60
"Which Roman emperor first adopted Christianity as the religion of the Roman Empire?",Constantine I;Nero;Augustus;Hadrian,a,HIS,60
"The 'Dreyfus Affair' in late 19th-century France was sparked by the wrongful conviction of an officer for what crime?",Treason/Espionage;Desertion;Murder;Fraud,a,HIS,75
"The Meiji Restoration of 1868 transformed Japan from what type of state into a modern empire?",Feudal shogunate;Colonial territory;Imperial Confucian state;Military republic,a,HIS,75
"Which event in 1923 caused hyperinflation so severe in Germany that people burned banknotes for warmth?",Occupation of the Ruhr by France and Belgium;The Treaty of Versailles;The Beer Hall Putsch;The Great Depression,a,HIS,80
"What was the name of the last dynasty of imperial China, which fell in 1912?",Qing Dynasty;Ming Dynasty;Han Dynasty;Tang Dynasty,a,HIS,90
"The Defenestration of Prague in 1618 helped ignite which major European conflict?",Thirty Years' War;Hundred Years' War;Seven Years' War;War of the Austrian Succession,a,HIS,90
"Which ancient Greek general's tactical genius led to the defeat of a vastly larger Persian army at the Battle of Marathon?",Miltiades;Themistocles;Pericles;Leonidas,a,HIS,99
"What was the primary language of administration and the Church in medieval Western Europe?",Latin;Greek;Old French;Church Slavonic,a,HIS,99
"Which is the most widely practised religion in the world?",Christianity;Islam;Hinduism;Buddhism,a,REC,5
"What is the holy book of Islam?",Quran;Torah;Bible;Vedas,a,REC,5
"In which city is the Vatican located?",Rome;Jerusalem;Athens;Constantinople,a,REC,5
"How many days is Ramadan observed for?",30;28;40;21,a,REC,5
"What is the Jewish day of rest called?",Shabbat;Yom Kippur;Passover;Hanukkah,a,REC,10
"The concept of karma originates from which religion?",Hinduism;Buddhism;Sikhism;Jainism,a,REC,10
"Which city is sacred to Judaism, Christianity, and Islam?",Jerusalem;Mecca;Rome;Varanasi,a,REC,10
"What is Diwali — the Festival of Lights — primarily a celebration of?",Victory of light over darkness;The harvest;The new year;The spring equinox,a,REC,10
"Who founded the Sikh religion in the 15th century?",Guru Nanak;Guru Gobind Singh;Guru Arjan;Guru Ram Das,a,REC,15
"What is the name of the holy pilgrimage that Muslims are expected to make to Mecca at least once in their lifetime?",Hajj;Umrah;Salat;Zakat,a,REC,15
"In Buddhism, what is 'Nirvana'?",The state of liberation from suffering and the cycle of rebirth;The afterlife paradise;A form of meditation;The teachings of the Buddha,a,REC,15
"The Talmud is a central text in which religion?",Judaism;Christianity;Islam;Zoroastrianism,a,REC,25
"What is the name of the five pillars framework that structures the religious duties of Muslims?",Arkan al-Islam;Sharia;Sunna;Fiqh,a,REC,25
"In Hinduism, the god Vishnu has had multiple avatars — which is considered the most famous?",Krishna;Rama;Narasimha;Matsya,a,REC,25
"Which Roman Catholic sacrament involves the confession of sins to a priest?",Reconciliation;Eucharist;Baptism;Confirmation,a,REC,30
"Zoroastrianism — one of the world's oldest religions — originated in which ancient region?",Persia (Iran);Egypt;Greece;Mesopotamia,a,REC,30
"In Judaism, what is the name for the dietary laws governing what foods can and cannot be eaten?",Kashrut;Shabbat;Mizvot;Halal,a,REC,30
"The Council of Nicaea in 325 AD was a pivotal moment for which religion — settling key doctrinal disputes?",Christianity;Islam;Judaism;Zoroastrianism,a,REC,45
"In Hinduism, what are the four stages of life known collectively as?",Ashrama;Dharma;Moksha;Karma,a,REC,45
"Which ancient Egyptian god was associated with the afterlife and the underworld?",Osiris;Ra;Horus;Anubis,a,REC,50
"The Baha'i Faith originated in which country in the 19th century?",Iran;India;Iraq;Egypt,a,REC,50
"In Sufi Islam, the 'whirling dervishes' belong to which order?",Mevlevi;Naqshbandi;Qadiri;Chishti,a,REC,60
"The Book of Mormon is a sacred text — which faith considers it scripture alongside the Bible?",The Church of Jesus Christ of Latter-day Saints;Seventh-day Adventists;Jehovah's Witnesses;Christian Science,a,REC,60
"In Buddhist cosmology, what is the name of the cycle of birth, death, and rebirth from which one seeks liberation?",Samsara;Nirvana;Karma;Dharma,a,REC,75
"Which ancient Greek philosopher founded the Neoplatonist school, whose ideas significantly influenced early Christian theology?",Plotinus;Plato;Aristotle;Socrates,a,REC,75
"What is the Bardо Thödol — commonly known in the West as the Tibetan Book of the Dead — used for?",Guiding the deceased through the intermediate state after death;A meditation manual for monks;A book of prayers for the living;A guide to reincarnation selection,a,REC,80
"The Yazidi religion — practised by a minority in Iraq and Syria — regards which figure as a peacock angel?",Melek Taus;Iblis;Azrael;Gabriel,a,REC,90
"Which religious tradition holds the concept of 'Ahimsa' (non-violence) as its highest ethical principle?",Jainism;Buddhism;Hinduism;Sikhism,a,REC,90
"In Kabbalistic Judaism, what is the name of the mystical concept describing the 'vessels' that shattered during creation, scattering divine sparks?",Shevirat HaKelim;Ein Sof;Tzimtzum;Tikkun Olam,a,REC,99
"The Mandaeans are one of the world's smallest and oldest religions — which prophet do they revere above all others?",John the Baptist;Moses;Abraham;Jesus,a,REC,99
"Which philosopher wrote 'The Republic' describing an ideal state ruled by philosopher-kings?",Plato;Aristotle;Socrates;Thucydides,a,HIS,80
"The 'Opium Wars' of the 19th century were fought between China and which power?",Britain;France;Russia;USA,a,HIS,80
"Which treaty ended the Thirty Years' War in 1648 — establishing the modern concept of national sovereignty?",Peace of Westphalia;Treaty of Utrecht;Peace of Augsburg;Treaty of Versailles,a,HIS,80
"Which Enlightenment thinker wrote 'The Social Contract' arguing that governments derive power from the people?",Jean-Jacques Rousseau;John Locke;Voltaire;Montesquieu,a,HIS,80
"Which civilisation built the city of Teotihuacan near modern-day Mexico City?",Unknown (pre-Aztec);Aztec;Maya;Toltec,a,HIS,80
"What is the term in Islam for the successor to the Prophet Muhammad as leader of the Muslim community?",Caliph;Imam;Sultan;Emir,a,REC,80
"In Hinduism, what is the concept of 'dharma' most closely associated with?",Duty and cosmic order;The soul;Rebirth;Divine love,a,REC,80
"Which Greek mathematician first calculated the circumference of the Earth using shadows and geometry?",Eratosthenes;Pythagoras;Euclid;Archimedes,a,MAT,80
"What is the name for a number that equals the sum of its proper divisors — the first being 6?",Perfect number;Prime;Abundant;Deficient,a,MAT,80
"Which 19th-century composer wrote the 'Unfinished Symphony' — a work with only two completed movements?",Schubert;Beethoven;Brahms;Schumann,a,MUS,80
"In linguistics, what is the Sapir-Whorf hypothesis?",Language shapes thought and perception;Grammar evolves from biology;Children learn language through imitation;All languages share a universal grammar,a,LAN,80
"Which sport's governing body is the FEI — and what does it govern?",Equestrian sports;Fencing;Ice skating;Extreme sports,a,SPO,80
"Which computing pioneer is credited with the concept of the 'stored-program' computer — distinct from Turing?",John von Neumann;Alan Turing;Charles Babbage;Claude Shannon,a,TEC,80
"What natural phenomenon creates the Northern Lights?",Solar wind particles hitting Earth's magnetic field;Moonlight refraction;Volcanic ash in the atmosphere;Bioluminescent ocean spray,a,GEO,80
"Which language has the most native speakers in Africa?",Swahili;Hausa;Arabic;Yoruba,a,LAN,80
"What fraction of the world's oxygen is produced by the Amazon Rainforest?",20%;50%;10%;35%,a,GEO,80
"In music theory, what is a tritone?",An interval of six semitones (augmented fourth);Three notes played together;A triple time signature;A type of chord inversion,a,MUS,80
"The 'prisoner's dilemma' is a concept from which field of study?",Game Theory;Economics;Political Science;Psychology,a,MAT,80
